#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   165   0.485005E+04  -0.440871E+02   0.193539E-03  -0.440871E+02   0.977779E+00  -0.895472E-06   0.193539E-03  -0.895472E-06   0.689952E-07
   166   0.487899E+04  -0.437343E+02   0.191895E-03  -0.437343E+02   0.967597E+00  -0.879480E-06   0.191895E-03  -0.879480E-06   0.686145E-07
   167   0.490758E+04  -0.433540E+02   0.190270E-03  -0.433540E+02   0.957206E+00  -0.863497E-06   0.190270E-03  -0.863497E-06   0.682370E-07
   168   0.493583E+04  -0.429464E+02   0.188662E-03  -0.429464E+02   0.946631E+00  -0.847544E-06   0.188662E-03  -0.847544E-06   0.678627E-07
   169   0.496372E+04  -0.425113E+02   0.187072E-03  -0.425113E+02   0.935892E+00  -0.831645E-06   0.187072E-03  -0.831645E-06   0.674914E-07
   170   0.499124E+04  -0.420486E+02   0.185500E-03  -0.420486E+02   0.925004E+00  -0.815821E-06   0.185500E-03  -0.815821E-06   0.671233E-07
   171   0.501838E+04  -0.415583E+02   0.183945E-03  -0.415583E+02   0.913998E+00  -0.800094E-06   0.183945E-03  -0.800094E-06   0.667582E-07
   172   0.504515E+04  -0.410403E+02   0.182408E-03  -0.410403E+02   0.902895E+00  -0.784485E-06   0.182408E-03  -0.784485E-06   0.663961E-07
   173   0.507152E+04  -0.404946E+02   0.180888E-03  -0.404946E+02   0.891717E+00  -0.769017E-06   0.180888E-03  -0.769017E-06   0.660371E-07
   174   0.509748E+04  -0.399211E+02   0.179385E-03  -0.399211E+02   0.880488E+00  -0.753711E-06   0.179385E-03  -0.753711E-06   0.656811E-07
   175   0.512304E+04  -0.393200E+02   0.177899E-03  -0.393200E+02   0.869243E+00  -0.738590E-06   0.177899E-03  -0.738590E-06   0.653280E-07
   176   0.514818E+04  -0.386913E+02   0.176431E-03  -0.386913E+02   0.857998E+00  -0.723669E-06   0.176431E-03  -0.723669E-06   0.649779E-07
