 a		phi		phidot		fde
    0.275225E-06    0.337289E+01   -0.655173E-13    0.157531E-13
    0.276114E-06    0.337289E+01   -0.661608E-13    0.159575E-13
    0.277006E-06    0.337289E+01   -0.668105E-13    0.161646E-13
    0.277900E-06    0.337289E+01   -0.674664E-13    0.163744E-13
    0.278798E-06    0.337289E+01   -0.681287E-13    0.165869E-13
    0.279698E-06    0.337289E+01   -0.687974E-13    0.168021E-13
    0.280601E-06    0.337289E+01   -0.694725E-13    0.170202E-13
    0.281507E-06    0.337289E+01   -0.701542E-13    0.172411E-13
    0.282417E-06    0.337289E+01   -0.708424E-13    0.174648E-13
    0.283329E-06    0.337289E+01   -0.715373E-13    0.176915E-13
    0.284244E-06    0.337289E+01   -0.722389E-13    0.179211E-13
    0.285162E-06    0.337289E+01   -0.729473E-13    0.181536E-13
    0.286083E-06    0.337289E+01   -0.736625E-13    0.183892E-13
    0.287006E-06    0.337289E+01   -0.743846E-13    0.186279E-13
    0.287933E-06    0.337289E+01   -0.751137E-13    0.188696E-13
    0.288863E-06    0.337289E+01   -0.758499E-13    0.191145E-13
    0.289796E-06    0.337289E+01   -0.765932E-13    0.193626E-13
    0.290732E-06    0.337289E+01   -0.773436E-13    0.196138E-13
    0.291671E-06    0.337289E+01   -0.781013E-13    0.198684E-13
    0.292613E-06    0.337289E+01   -0.788663E-13    0.201262E-13
    0.293558E-06    0.337289E+01   -0.796388E-13    0.203874E-13
    0.294506E-06    0.337289E+01   -0.804187E-13    0.206520E-13
    0.295457E-06    0.337289E+01   -0.812061E-13    0.209200E-13
    0.296411E-06    0.337289E+01   -0.820011E-13    0.211915E-13
    0.297368E-06    0.337289E+01   -0.828039E-13    0.214665E-13
    0.298329E-06    0.337289E+01   -0.836144E-13    0.217451E-13
    0.299292E-06    0.337289E+01   -0.844327E-13    0.220273E-13
    0.300259E-06    0.337289E+01   -0.852590E-13    0.223131E-13
    0.301228E-06    0.337289E+01   -0.860932E-13    0.226027E-13
    0.302201E-06    0.337289E+01   -0.869355E-13    0.228960E-13
    0.303177E-06    0.337289E+01   -0.877860E-13    0.231931E-13
    0.304156E-06    0.337289E+01   -0.886447E-13    0.234941E-13
    0.305138E-06    0.337289E+01   -0.895117E-13    0.237990E-13
    0.306124E-06    0.337289E+01   -0.903871E-13    0.241079E-13
    0.307112E-06    0.337289E+01   -0.912710E-13    0.244207E-13
    0.308104E-06    0.337289E+01   -0.921634E-13    0.247376E-13
    0.309099E-06    0.337289E+01   -0.930644E-13    0.250587E-13
    0.310098E-06    0.337289E+01   -0.939742E-13    0.253839E-13
    0.311099E-06    0.337289E+01   -0.948928E-13    0.257133E-13
    0.312104E-06    0.337289E+01   -0.958203E-13    0.260470E-13
    0.313112E-06    0.337289E+01   -0.967568E-13    0.263850E-13
    0.314123E-06    0.337289E+01   -0.977023E-13    0.267274E-13
    0.315137E-06    0.337289E+01   -0.986570E-13    0.270742E-13
    0.316155E-06    0.337289E+01   -0.996209E-13    0.274256E-13
    0.317176E-06    0.337289E+01   -0.100594E-12    0.277815E-13
    0.318200E-06    0.337289E+01   -0.101577E-12    0.281420E-13
    0.319228E-06    0.337289E+01   -0.102569E-12    0.285072E-13
    0.320259E-06    0.337289E+01   -0.103571E-12    0.288772E-13
    0.321293E-06    0.337289E+01   -0.104582E-12    0.292519E-13
    0.322331E-06    0.337289E+01   -0.105604E-12    0.296315E-13
    0.323372E-06    0.337289E+01   -0.106635E-12    0.300161E-13
    0.324416E-06    0.337289E+01   -0.107676E-12    0.304056E-13
    0.325464E-06    0.337289E+01   -0.108727E-12    0.308002E-13
    0.326515E-06    0.337289E+01   -0.109789E-12    0.311999E-13
    0.327569E-06    0.337289E+01   -0.110861E-12    0.316048E-13
    0.328627E-06    0.337289E+01   -0.111943E-12    0.320149E-13
    0.329688E-06    0.337289E+01   -0.113035E-12    0.324304E-13
    0.330753E-06    0.337289E+01   -0.114139E-12    0.328512E-13
    0.331821E-06    0.337289E+01   -0.115252E-12    0.332775E-13
    0.332893E-06    0.337289E+01   -0.116377E-12    0.337094E-13
