 a		phi		phidot		fde
    0.342694E-06    0.100000E+02    0.464811E-09    0.120608E-11
    0.343801E-06    0.100000E+02    0.469344E-09    0.122173E-11
    0.344911E-06    0.100000E+02    0.473921E-09    0.123758E-11
    0.346025E-06    0.100000E+02    0.478543E-09    0.125364E-11
    0.347143E-06    0.100000E+02    0.483209E-09    0.126991E-11
    0.348264E-06    0.100000E+02    0.487920E-09    0.128639E-11
    0.349389E-06    0.100000E+02    0.492677E-09    0.130308E-11
    0.350517E-06    0.100000E+02    0.497481E-09    0.131999E-11
    0.351649E-06    0.100000E+02    0.502330E-09    0.133712E-11
    0.352785E-06    0.100000E+02    0.507227E-09    0.135448E-11
    0.353924E-06    0.100000E+02    0.512172E-09    0.137205E-11
    0.355067E-06    0.100000E+02    0.517164E-09    0.138986E-11
    0.356213E-06    0.100000E+02    0.522205E-09    0.140789E-11
    0.357364E-06    0.100000E+02    0.527294E-09    0.142616E-11
    0.358518E-06    0.100000E+02    0.532433E-09    0.144467E-11
    0.359676E-06    0.100000E+02    0.537622E-09    0.146342E-11
    0.360837E-06    0.100000E+02    0.542861E-09    0.148241E-11
    0.362003E-06    0.100000E+02    0.548151E-09    0.150165E-11
    0.363172E-06    0.100000E+02    0.553492E-09    0.152113E-11
    0.364345E-06    0.100000E+02    0.558885E-09    0.154087E-11
    0.365521E-06    0.100000E+02    0.564331E-09    0.156087E-11
    0.366702E-06    0.100000E+02    0.569829E-09    0.158112E-11
    0.367886E-06    0.100000E+02    0.575381E-09    0.160164E-11
    0.369074E-06    0.100000E+02    0.580986E-09    0.162242E-11
    0.370266E-06    0.100000E+02    0.586646E-09    0.164348E-11
    0.371462E-06    0.100000E+02    0.592361E-09    0.166480E-11
    0.372661E-06    0.100000E+02    0.598131E-09    0.168641E-11
    0.373865E-06    0.100000E+02    0.603957E-09    0.170829E-11
    0.375072E-06    0.100000E+02    0.609840E-09    0.173046E-11
    0.376283E-06    0.100000E+02    0.615779E-09    0.175292E-11
    0.377499E-06    0.100000E+02    0.621777E-09    0.177566E-11
    0.378718E-06    0.100000E+02    0.627832E-09    0.179870E-11
    0.379941E-06    0.100000E+02    0.633947E-09    0.182205E-11
    0.381168E-06    0.100000E+02    0.640120E-09    0.184569E-11
    0.382399E-06    0.100000E+02    0.646354E-09    0.186964E-11
    0.383634E-06    0.100000E+02    0.652648E-09    0.189390E-11
    0.384873E-06    0.100000E+02    0.659003E-09    0.191848E-11
    0.386116E-06    0.100000E+02    0.665420E-09    0.194337E-11
    0.387363E-06    0.100000E+02    0.671899E-09    0.196859E-11
    0.388614E-06    0.100000E+02    0.678441E-09    0.199414E-11
